Model,ConnGroup,N,Pos,AP,PRAUC_trap,ROC,Brier,LogLoss,Note
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,7,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
ME2,8,6744,2708,0.4091,0.4087,0.4879,0.2497,0.6949,
